"";"ID";"Point.digging";"Area";"Digging.depth";"Uneven.digging.depth";"Seedlings";"Big.Small";"Total.outside";"Year";"Surroundings";"Orientation";"Djup.cm";"plantorUtanför"
"134";"41P";"No";19,5;30;"No";"";16;NA;2022;"Forest";"East";"30";NA
"135";"41Q";"No";17,94;10;"No";"";2;NA;2022;"Forest";"East";"10";NA
"136";"41R";"No";19,61;25;"No";"";1;NA;2022;"Forest";"East";"20";NA
"137";"41S";"No";17,02;40;"No";"";0;NA;2022;"Forest";"East";"30";NA
"138";"42B";"Yes";1,68;20;"No";"";1;NA;2022;"Garden";"East";"10";NA
"139";"42F";"No";24,5;30;"No";"";37;NA;2022;"Garden";"East";"30";NA
"140";"42G";"No";22,08;15;"No";"";36;NA;2022;"Garden";"East";"10";NA
"141";"42H";"No";26,79;25;"No";"";16;NA;2022;"Garden";"East";"20";NA
"142";"42I";"No";24,96;30;"No";"";67;NA;2022;"Garden";"East";"30";NA
"143";"42K";"No";37,26;20;"No";"";5;NA;2022;"Garden";"East";"20";NA
"144";"46D";"No";22,54;35;"No";"";35;NA;2022;"Garden";"East";"30";NA
"145";"50";"Yes";3,24;10;"No";"";1;NA;2022;"Garden";"East";"10";NA
"146";"51";"Yes";3,23;10;"No";"";1;NA;2022;"Forest";"West";"10";NA
"147";"52B";"Yes";2,72;10;"No";"";1;NA;2022;"Garden";"East";"10";NA
"148";"53A";"No";18,92;30;"No";"";19;NA;2022;"Garden";"East";"30";NA
"149";"53B";"No";30,1;10;"No";"";16;NA;2022;"Garden";"East";"10";NA
"150";"54";"No";16,34;10;"No";"";12;NA;2022;"Forest";"East";"10";NA
