ID_plt;ID#;ID;Point digging;Längd;Bredd innerslänt;Bredd ytterslänt;Area;Färg;Djup cm;Faktiskt djup cm;Digging.depth;Uneven digging depth;Year;Seedlings.inside;Big.inside;Small.inside;Big.outside.l;Small.outside.l;Big.outside.b;Small.outside.b;Big.outside.u;Small.outside.u;Total.big.outside;Datum inventering ;Inventerare 2023;Kommentar;;Surroundings;Orientation
41;F;41F;No;440;150;250;17,6;Grön;20;25;25;No;2023;0;0;0;;;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;East
41;G;41G;No;520;150;250;20,8;Rosa;30;30;30;No;2023;0;0;0;;;0;0;0;1;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;East
41;H;41H;No;430;150;260;17,63;Blå;10;10;10;No;2023;0;0;0;;;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;East
41;I;41I;No;410;150;260;16,81;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;J;41J;No;470;150;260;19,27;Rosa;30;30;30;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;L;41L;No;520;150;250;20,8;Grön;20;20;20;No;2023;0;0;0;0;1;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;M;41M;No;470;150;250;18,8;Rosa;30;35;35;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;N;41N;No;460;150;140;13,34;Blå;10;15;15;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;O;41O;No;520;150;240;20,28;Grön;20;20;20;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;P;41P;No;500;150;240;19,5;Rosa;30;30;30;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;Q;41Q;No;460;150;240;17,94;Blå;10;10;10;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;R;41R;No;530;150;220;19,61;Grön;20;25;25;No;2023;0;0;0;;;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;S;41S;No;460;150;220;17,02;Rosa;30;40;40;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;U;41U;No;490;150;200;17,15;Grön;20;20;20;No;2023;0;0;0;0;1;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
41;Z;41Z;Yes;160;150;90;3,84;Blå;10;10;10;No;2023;0;0;0;1;2;0;0;0;0;1;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
42;B;42B;Yes;140;120;;1,68;Grön;10;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-20;J-O Helldin, Izabel Eriksson, Andreas Ekman;grävdes endast till 10 cm pga kabel;;Garden;East
